source,priority,status,risk_score,object_id,device_name,center_frequency,issue_category,recommended_check
channel,P1,Critical,100.0,T11|/1/1/L2|23.0|4.0|196100000.0|A|ot2,T11,196100000.0,Critical BER correlated with frequency-level degradation,"P1. Check optical channel/frequency, OCH power behavior, EDFA section and transponder Pre-FEC BER trend."
channel,P1,Critical,100.0,T11|/1/1/L1|12.0|3.0|196100000.0|Z|ot2,T11,196100000.0,Frequency-level critical condition affecting this channel,P1/P2. Frequency has critical power or BER behavior. Check whether this channel shares the affected frequency group.
channel,P1,Critical,100.0,T6|/1/1/L2|12.0|3.0|196100000.0|A|ot2,T6,196100000.0,Frequency-level critical condition affecting this channel,P1/P2. Frequency has critical power or BER behavior. Check whether this channel shares the affected frequency group.
channel,P1,Critical,100.0,T16|/1/3/L1|23.0|4.0|196100000.0|Z|ot2,T16,196100000.0,Frequency-level critical condition affecting this channel,P1/P2. Frequency has critical power or BER behavior. Check whether this channel shares the affected frequency group.
frequency,P1,Critical,100.0,191400.0,,191400.0,Optical power critical only,"Check OCH power level, channel equalization, ROADM/EDFA behavior and physical optical path. BER may still be protected by FEC."
frequency,P1,Critical,100.0,196100000.0,,196100000.0,BER critical only,"High priority. BER is critical but OCH power is not critical. Check transponder, modulation/FEC behavior, non-power optical impairments and side-specific degradation."
device,P1,Critical,100.0,18,18,,"Device optical health: power=Critical, edfa=Normal","Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
device,P1,Critical,100.0,25,25,,"Device optical health: power=Warning, edfa=Critical","Critical EDFA behavior detected. Check amplifier gain profile, gain tilt, VOA/attenuation and span condition."
frequency,P1,Critical,99.93,191800.0,,191800.0,Optical power critical only,"Check OCH power level, channel equalization, ROADM/EDFA behavior and physical optical path. BER may still be protected by FEC."
frequency,P1,Critical,99.93,193100.0,,193100.0,Optical power critical only,"Check OCH power level, channel equalization, ROADM/EDFA behavior and physical optical path. BER may still be protected by FEC."
device,P1,Critical,99.93,29,29,,"Device optical health: power=Critical, edfa=Normal","Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
frequency,P1,Critical,99.85,191600.0,,191600.0,Optical power critical only,"Check OCH power level, channel equalization, ROADM/EDFA behavior and physical optical path. BER may still be protected by FEC."
device,P1,Critical,99.85,33,33,,"Device optical health: power=Critical, edfa=Normal","Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
frequency,P1,Critical,99.78,196100.0,,196100.0,Optical power critical only,"Check OCH power level, channel equalization, ROADM/EDFA behavior and physical optical path. BER may still be protected by FEC."
device,P1,Critical,99.78,14,14,,"Device optical health: power=Critical, edfa=Normal","Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
device,P1,Critical,99.78,43,43,,"Device optical health: power=Critical, edfa=Warning","Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
frequency,P1,Critical,99.7,191500.0,,191500.0,Optical power critical only,"Check OCH power level, channel equalization, ROADM/EDFA behavior and physical optical path. BER may still be protected by FEC."
frequency,P1,Critical,99.7,193500.0,,193500.0,Optical power critical only,"Check OCH power level, channel equalization, ROADM/EDFA behavior and physical optical path. BER may still be protected by FEC."
device,P1,Critical,99.7,31,31,,"Device optical health: power=Critical, edfa=Normal","Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
device,P1,Critical,99.63,15,15,,"Device optical health: power=Critical, edfa=Normal","Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
device,P1,Critical,99.63,35,35,,"Device optical health: power=Critical, edfa=Warning","Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
device,P1,Critical,99.55,16,16,,"Device optical health: power=Critical, edfa=Warning","Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
